Mag. Current I/mA ,B/mT  ,Mag. Resis. Current(-) I_R/mA ,R/\ohm ,MR_2   , ,R(H_s)/Ohm
-99.7             ,-3.01 ,                        1.949 ,  2052 ,0.02%  , ,      2052
-90.4             ,-2.73 ,                        1.948 ,  2053 ,0.07%  , ,          
-80.2             ,-2.42 ,                        1.946 ,  2055 ,0.17%  , ,          
-70.2             ,-2.12 ,                        1.940 ,  2062 ,0.48%  , ,          
-60.4             ,-1.82 ,                        1.920 ,  2083 ,1.53%  , ,          
-54.7             ,-1.65 ,                        1.902 ,  2103 ,2.49%  , ,          
-50.5             ,-1.52 ,                        1.887 ,  2120 ,3.30%  , ,          
-44.8             ,-1.35 ,                        1.866 ,  2144 ,4.47%  , ,          
-40.0             ,-1.21 ,                        1.848 ,  2165 ,5.48%  , ,          
-30.5             ,-0.92 ,                        1.813 ,  2206 ,7.52%  , ,          
-19.9             ,-0.60 ,                        1.771 ,  2259 ,10.07% , ,          
-15.2             ,-0.46 ,                        1.751 ,  2284 ,11.33% , ,          
-8.9              ,-0.27 ,                        1.732 ,  2309 ,12.55% , ,          
-6.1              ,-0.18 ,                        1.723 ,  2322 ,13.14% , ,          
-4.3              ,-0.13 ,                        1.721 ,  2324 ,13.27% , ,          
-2.4              ,-0.07 ,                        1.723 ,  2322 ,13.14% , ,          
0.0               ,0.00  ,                        1.728 ,  2315 ,12.81% , ,          
3.4               ,0.10  ,                        1.737 ,  2303 ,12.22% , ,          
5.1               ,0.15  ,                        1.742 ,  2296 ,11.90% , ,          
9.9               ,0.30  ,                        1.756 ,  2278 ,11.01% , ,          
15.5              ,0.47  ,                        1.774 ,  2255 ,9.88%  , ,          
19.9              ,0.60  ,                        1.789 ,  2236 ,8.96%  , ,          
29.6              ,0.89  ,                        1.825 ,  2192 ,6.81%  , ,          
34.9              ,1.05  ,                        1.844 ,  2169 ,5.71%  , ,          
39.9              ,1.20  ,                        1.862 ,  2148 ,4.69%  , ,          
50.1              ,1.51  ,                        1.897 ,  2109 ,2.76%  , ,          
60.4              ,1.82  ,                        1.927 ,  2076 ,1.16%  , ,          
70.3              ,2.12  ,                        1.947 ,  2054 ,0.12%  , ,          
79.9              ,2.41  ,                        1.947 ,  2054 ,0.12%  , ,          
89.4              ,2.70  ,                        1.949 ,  2052 ,0.02%  , ,          
100.5             ,3.03  ,                        1.949 ,  2052 ,0.02%  , ,          
                  ,      ,                              ,       ,       , ,          